Date,Usage,hour,day_of_week,Usage_scaled,t-1,t-2,t-3
2026-01-01 03:00:00,1.24,3,3,0.1753554502369668,,,
2026-01-01 04:00:00,1.2,4,3,0.16587677725118483,1.24,,
2026-01-01 05:00:00,1.56,5,3,0.2511848341232228,1.2,1.24,
2026-01-01 06:00:00,2.32,6,3,0.4312796208530806,1.56,1.2,1.24
2026-01-01 07:00:00,2.54,7,3,0.4834123222748815,2.32,1.56,1.2
2026-01-01 08:00:00,2.66,8,3,0.5118483412322276,2.54,2.32,1.56
2026-01-01 09:00:00,3.17,9,3,0.6327014218009479,2.66,2.54,2.32
2026-01-01 10:00:00,3.21,10,3,0.6421800947867299,3.17,2.66,2.54
2026-01-01 11:00:00,3.36,11,3,0.6777251184834123,3.21,3.17,2.66
2026-01-01 12:00:00,3.55,12,3,0.7227488151658767,3.36,3.21,3.17
2026-01-01 13:00:00,3.07,13,3,0.6090047393364929,3.55,3.36,3.21
2026-01-01 14:00:00,2.95,14,3,0.580568720379147,3.07,3.55,3.36
2026-01-01 15:00:00,2.75,15,3,0.533175355450237,2.95,3.07,3.55
2026-01-01 16:00:00,2.55,16,3,0.485781990521327,2.75,2.95,3.07
2026-01-01 17:00:00,2.45,17,3,0.4620853080568721,2.55,2.75,2.95
2026-01-01 18:00:00,1.82,18,3,0.3127962085308057,2.45,2.55,2.75
2026-01-01 19:00:00,1.33,19,3,0.19668246445497634,1.82,2.45,2.55
2026-01-01 20:00:00,1.54,20,3,0.24644549763033174,1.33,1.82,2.45
2026-01-01 21:00:00,0.89,21,3,0.09241706161137442,1.54,1.33,1.82
2026-01-01 22:00:00,0.71,22,3,0.04976303317535544,0.89,1.54,1.33
2026-01-01 23:00:00,0.5,23,3,0.0,0.71,0.89,1.54
2026-01-02 00:00:00,0.5,0,4,0.0,0.5,0.71,0.89
2026-01-02 01:00:00,0.57,1,4,0.01658767772511846,0.5,0.5,0.71
2026-01-02 02:00:00,0.5,2,4,0.0,0.57,0.5,0.5
2026-01-02 03:00:00,1.01,3,4,0.12085308056872038,0.5,0.57,0.5
2026-01-02 04:00:00,1.13,4,4,0.14928909952606634,1.01,0.5,0.57
2026-01-02 05:00:00,1.55,5,4,0.24881516587677727,1.13,1.01,0.5
2026-01-02 06:00:00,1.88,6,4,0.32701421800947866,1.55,1.13,1.01
2026-01-02 07:00:00,2.76,7,4,0.5355450236966824,1.88,1.55,1.13
2026-01-02 08:00:00,2.75,8,4,0.533175355450237,2.76,1.88,1.55
2026-01-02 09:00:00,2.85,9,4,0.556872037914692,2.75,2.76,1.88
2026-01-02 10:00:00,3.46,10,4,0.7014218009478673,2.85,2.75,2.76
2026-01-02 11:00:00,3.2,11,4,0.6398104265402844,3.46,2.85,2.75
2026-01-02 12:00:00,3.13,12,4,0.6232227488151658,3.2,3.46,2.85
2026-01-02 13:00:00,3.06,13,4,0.6066350710900474,3.13,3.2,3.46
2026-01-02 14:00:00,3.03,14,4,0.5995260663507108,3.06,3.13,3.2
