time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2006-12-16,5.7,3.4,8.5,90,2.4,,14.4,,1024.2,,6
2006-12-17,2.4,-0.8,6.3,94,0.2,,6.6,,1029.8,,
2006-12-18,3.4,1.7,5.3,92,0.0,,8.4,,1029.1,,7
2006-12-19,2.2,0.1,4.8,82,0.0,,18.7,,1033.8,,2
2006-12-20,2.4,0.5,5.6,76,0.0,,18.1,,1037.2,,2
2006-12-21,4.5,-0.3,8.4,80,0.0,,18.2,,1039.1,,
2006-12-22,4.5,2.9,6.7,78,0.0,,19.0,,1039.2,,0
2006-12-23,1.7,-0.2,3.8,89,0.0,,14.0,,1038.2,,4
2006-12-24,2.1,0.8,2.5,89,0.0,,8.1,,1036.4,,8
2006-12-25,1.2,0.6,1.8,91,0.0,,9.4,,1035.4,,8
2006-12-26,0.0,-0.9,0.6,91,0.0,,8.6,,1034.2,,8
2006-12-27,0.1,-0.2,0.5,87,0.0,,7.6,,1033.6,,8
2006-12-28,-1.6,-2.1,-0.8,92,0.0,,7.6,,1031.0,,8
2006-12-29,1.9,-3.1,8.6,81,0.0,,10.9,,1025.2,,
2006-12-30,9.0,6.0,11.7,78,4.4,,26.4,,1020.6,,8
2006-12-31,10.1,7.2,13.8,88,5.2,,22.7,,1027.2,,6
2007-01-01,9.8,7.8,11.4,77,6.4,,26.5,,1020.8,,
2007-01-02,6.3,4.0,8.1,82,5.0,,23.0,,1027.1,,
2007-01-03,6.2,3.9,8.4,88,1.2,,16.4,,1030.9,,7
2007-01-04,9.2,6.8,11.6,82,2.0,,20.8,,1018.8,,7
2007-01-05,9.9,8.5,11.5,85,1.8,,18.0,,1024.0,,7
2007-01-06,11.4,10.1,12.7,89,0.4,,22.0,,,,7
2007-01-07,7.8,4.8,10.8,87,1.0,,16.4,,1020.1,,
2007-01-08,10.8,8.9,13.3,88,1.4,,23.9,,1009.2,,8
2007-01-09,12.7,11.0,14.2,85,0.2,,21.6,,1015.8,,7
2007-01-10,9.7,8.0,12.9,83,1.2,,18.0,,1019.5,,6
2007-01-11,7.8,3.7,11.5,86,4.6,,24.9,,1023.2,,6
2007-01-12,9.8,6.2,12.3,85,0.0,,15.7,,1028.9,,
2007-01-13,10.9,9.4,11.4,89,0.2,,15.4,,1026.0,,8
2007-01-14,7.6,3.3,12.1,83,0.0,,8.9,,1031.5,,
2007-01-15,4.3,-1.2,8.5,90,0.0,,5.9,,1028.4,,
2007-01-16,7.4,5.0,10.6,88,0.6,,11.9,,1021.9,,7
2007-01-17,11.3,9.0,13.3,89,7.8,,25.6,,1016.7,,8
2007-01-18,13.4,11.3,14.9,88,0.8,,36.4,,,,8
2007-01-19,13.5,12.7,15.6,87,0.4,,23.3,,1020.9,,8
2007-01-20,11.6,9.7,14.1,83,3.4,,21.9,,1019.9,,8
2007-01-21,7.1,6.0,10.4,77,0.0,,21.4,,1019.0,,
2007-01-22,4.4,1.7,7.3,88,0.0,,9.6,,1015.4,,7
2007-01-23,1.6,0.2,2.3,49,0.0,,35.0,,1011.6,,7
2007-01-24,0.9,-0.3,3.4,84,2.0,,14.3,,1010.7,,5
2007-01-25,-1.4,-2.8,-0.1,76,0.0,,22.0,,1021.3,,
